OBJECTID,Neighborhoods,GlobalID,Shape__Area,Shape__Length
246,40450,60b3de66-9b39-4d97-84bb-2020fccfd5a3,1150390.94067383,10955.4791385152
247,40451,0d3ae720-d185-4058-9697-1640a8767343,309053.494384766,5830.83988761418
248,40500,4d84100e-5af0-414b-81fc-a5d8849048b6,3538287.63623047,14839.5226124147
249,40550,218a39d9-38fb-4740-85cd-64a6019207cb,437976.116455078,2878.36979068661
250,40600,61e4bbbc-0ad7-49ab-8da3-6f2e04f8b168,12355047.2548828,30648.5628278238
251,40601,9717704b-a490-4288-97fc-284ca7810afe,716502.061523438,3597.51696148947
252,40650,609e666c-7fc5-4d70-915f-99ee0e34ec70,6452023.89550781,18806.787771552
253,40700,35747671-283b-4a03-9338-55cace382efd,2141029.46044922,7683.11943509046
254,40730,cdd1fcf6-7c7a-4959-a034-6c9a006d6b3f,3807891.40478516,15256.2250876739
255,40750,a688a3df-ecf6-41eb-81b3-7d661a0af246,6846393.02172852,20416.3405382415
256,40751,adf8efed-0c1a-4c82-9d0b-b82761f2582c,522726.958007813,8457.63075580964
257,40760,83caf3ae-a27d-460e-8209-a195c4f68550,582061.929199219,3748.18339102692
258,40800,ecf483f6-8ee4-4dce-9d03-c625902e17f7,837793.271240234,4095.2198228887
259,40850,cc433ad9-b63d-4838-87ea-d3c8f9f1223b,1530681.5534668,6032.56103405879
260,40900,da633233-3530-4c10-a47d-8af0222b6292,10304886.7924805,21388.2229801981
261,40901,f7cdaba3-cae9-466c-a6ea-72a6bef821f2,865767.176269531,4106.02830917183
262,40920,86d922df-344c-4b6a-91d5-74593fd09f56,635918.961181641,3713.79551135157
263,40950,15e614ca-1f6d-451e-a17a-2e88cab526c5,2253226.65771484,7531.24201057513
264,40951,f847e01c-43a1-400f-96fa-6f18c77a3083,374877.771240234,2490.715744573
265,41000,a6f37e9b-4720-497f-acaa-0dc86fad0029,1196979.07666016,5104.06507357147
266,41050,de61a900-a1d0-472d-9be7-6147c4fb9810,3210936.32470703,13070.9009614755
267,41100,5e01d3ca-40a7-416e-8019-7782ccd40d66,599475.492919922,3443.69685933358
268,41150,4dcfc85e-b378-4504-996e-bee99d30b954,1822891.70629883,7215.5805152761
269,41160,d4ebad25-5541-4dde-9681-88e71ba582fb,414163.268066406,5229.2979764036
270,41170,770123e0-6c5d-4909-9aec-102d1f043442,582020.790527344,4301.39345399641
271,41200,9b4e4501-ec9b-4f6f-be01-1acad81fd08f,4646577.65283203,12677.8823126038
272,41250,263c031b-c961-4731-b2a9-d15ccadcfd02,3057311.44873047,12702.3552534432
273,41300,599637d0-42ed-4e60-8797-1e3d0e33d36f,2359599.30688477,6881.27678284383
274,41350,531a4bb1-e4d7-4b13-9ffd-ab6bf604064b,3022271.74243164,9341.69016329059
275,41400,3ba154d1-594c-475c-822c-7de9d6d9eae9,2452237.96606445,6968.32172831183
276,41450,f9e8ea2a-5b7e-4bbf-baca-c9bbaba97e17,1159383.31494141,5061.16856285131
277,41500,d6026342-4e9f-429f-8232-7d3eac9b3d75,1147742.6418457,4628.1030251312
278,41550,e93f14f6-ad0e-4cf1-aba8-cb6d54e3965a,2711276.6003418,13350.3340734013
279,41600,a709282a-8a97-4b2e-af81-c5aaa3bd19e6,2248640.17773438,7365.0564488798
280,41650,8f0ea574-6be3-48f2-baad-9d31d7c776d8,6256919.58300781,22332.7457609785
281,41700,5a129713-3b96-4d08-9d13-ca9cbb700af0,679433.700683594,3352.08750214974
282,41750,5f4c9ab2-a8e2-4fa7-86a4-091c4bfd514a,4184951.80786133,12600.7220316437
283,41800,1bf489bb-883c-4370-ab4b-933b2c537754,1477868.07885742,5388.51342259688
284,41850,43b3e633-4d38-4f45-96df-ed346bacf20f,1214554.2109375,5011.00705898512
285,41900,ec3666c4-fae7-4b36-9338-3ed209809f33,483767.723876953,3764.72439248959
286,41950,36fd9715-644a-475a-ae0d-57e051106cf9,1707731.59130859,5779.03589310365
287,42000,2f7b4748-2e0c-4e95-ba7e-290ac7c3cf01,5913161.16088867,10254.7251926306
288,42050,760ee2c0-8561-4aba-8fc2-dfd7a0cda85b,5367062.13256836,20075.9498933383
289,42100,0f034b8b-efc4-44d0-b445-8d55bbbd5c90,3126055.63623047,8936.82166364591
290,42150,95d75225-e092-4959-869e-6589eaff06b5,424961.187255859,3089.84524027475
291,42200,4cd073a1-6084-44b0-a258-1b023f8ffe49,1037255.88793945,8645.720852106
