OBJECTID,Type,Status,SHAPE_Leng,Shape__Area,Shape__Length
1762,Woodland Deciduous Vegetation Area,New,403.441364952,3396.94848632813,403.441364943265
1763,Woodland Deciduous Vegetation Area,New,924.498724741,26047.1645507813,924.498724728975
1764,Woodland Deciduous Vegetation Area,New,595.84591464,12347.4399414063,595.845914644516
1765,Woodland Deciduous Vegetation Area,New,138.202994227,1255.27880859375,138.202994227273
1766,Woodland Deciduous Vegetation Area,New,813.692268192,29785.6357421875,813.692268190596
1767,Woodland Deciduous Vegetation Area,New,1042.38142465,22263.8991699219,1042.38142464304
1768,Woodland Deciduous Vegetation Area,New,919.432604896,13536.0734863281,919.432604897874
1769,Woodland Deciduous Vegetation Area,New,703.296245306,11372.8967285156,703.296245310853
1770,Woodland Deciduous Vegetation Area,New,546.288677629,7722.16088867188,546.2886776294
1771,Woodland Deciduous Vegetation Area,New,1337.37669258,17103.1008300781,1337.37669258594
1772,Woodland Deciduous Vegetation Area,New,976.730816138,32641.0578613281,976.730816147213
1773,Woodland Deciduous Vegetation Area,New,487.959015423,12757.9279785156,487.959015423153
1774,Woodland Deciduous Vegetation Area,New,196.556067799,2691.77978515625,196.556067801791
1775,Woodland Deciduous Vegetation Area,New,1698.65001395,58536.6506347656,1698.65001394715
1776,Woodland Deciduous Vegetation Area,New,350.263053019,3643.43505859375,350.263053016671
1777,Woodland Deciduous Vegetation Area,New,600.543156351,4981.2666015625,600.543156349337
1778,Woodland Deciduous Vegetation Area,New,1324.77554786,13366.6870117188,1324.77554787917
1779,Woodland Deciduous Vegetation Area,New,1070.99622257,23907.9360351563,1070.99622256305
1780,Woodland Deciduous Vegetation Area,New,1829.94361189,52300.927734375,1829.9436118876
1781,Woodland Deciduous Vegetation Area,New,366.050975863,5024.56079101563,366.050975861371
1782,Woodland Deciduous Vegetation Area,New,857.010618818,21462.8623046875,857.010618817672
1783,Woodland Deciduous Vegetation Area,New,783.356427737,22876.7116699219,783.356427735775
1784,Woodland Deciduous Vegetation Area,New,694.907337152,17268.2556152344,694.907337153807
1785,Woodland Deciduous Vegetation Area,New,528.404433288,5250.73364257813,528.404433291315
1786,Woodland Deciduous Vegetation Area,New,327.129755189,3993.89916992188,327.129755193744
1787,Woodland Deciduous Vegetation Area,New,350.335329921,5475.20166015625,350.335329918755
1788,Woodland Deciduous Vegetation Area,New,859.10917286,14377.0034179688,859.109172848342
1789,Woodland Deciduous Vegetation Area,New,739.090083637,9385.22705078125,739.090083640123
1790,Woodland Deciduous Vegetation Area,New,299.218091268,4016.78515625,299.21809126738
1791,Woodland Deciduous Vegetation Area,New,1852.11272763,54351.6931152344,1852.11272762718
1792,Woodland Deciduous Vegetation Area,New,142.777499188,1515.548828125,142.777499189012
1793,Woodland Deciduous Vegetation Area,New,657.91145738,6379.162109375,657.911457377356
1794,Woodland Deciduous Vegetation Area,New,164.189456348,1233.58618164063,164.189456349872
1795,Woodland Deciduous Vegetation Area,New,2904.52806272,175574.271728516,2904.52806271828
1796,Woodland Deciduous Vegetation Area,New,153.421150819,1534.03979492188,153.421150819165
1797,Woodland Deciduous Vegetation Area,New,688.999149929,8076.59130859375,688.999149921709
1798,Woodland Deciduous Vegetation Area,New,985.455057428,12734.5190429688,985.455057433817
1799,Woodland Deciduous Vegetation Area,New,7494.00882485,346392.678955078,7494.00882483603
1800,Woodland Deciduous Vegetation Area,New,1290.1061573,45432.3771972656,1290.10615730463
1801,Woodland Deciduous Vegetation Area,New,293.634632414,4662.91333007813,293.634632409349
1802,Woodland Deciduous Vegetation Area,New,3192.21513938,172622.020263672,3192.21513935992
1803,Woodland Deciduous Vegetation Area,New,1253.50003776,17964.1794433594,1253.50003776224
1804,Woodland Deciduous Vegetation Area,New,353.462570187,2946.25024414063,353.462570187909
1805,Woodland Deciduous Vegetation Area,New,1053.22009391,16664.9016113281,1053.22009390607
1806,Woodland Deciduous Vegetation Area,New,703.739235286,20779.7490234375,703.739235292326
1807,Woodland Deciduous Vegetation Area,New,453.982550409,7109.54907226563,453.982550409361
