X,Y,OBJECTID,stormdate,surveydate,damage,damage_txt,dod_txt,efscale,damage_dir,windspeed,injuries,deaths,comments,lat,lon,office,image
-89.647498726984622,40.731099228746473,57,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,2,One- or Two-Family Residences (FR12),"Loss of roof covering material (<20%), gutters and/or awning; loss of vinyl or metal siding",EF0,E/90,85,0,0,roof buckled. more soffit damage,40.731,-89.6474,ILX,TjBtTqEq_1458156706033.jpg
-89.647490759890616,40.731477759690904,58,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Trunks snapped,EF0,W/270,N/A,0,0,none,40.7314,-89.6474,ILX,null
-89.591677509909118,40.759492760182809,59,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Large branches broken (1-3 inch diameter),EF0,SSE/150,80,0,0,"tree already cleaned up. 30"" diam, snapped off and fell into garage.",40.7594,-89.5916,ILX,null
-89.591847080678178,40.759404873935864,60,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Large branches broken (1-3 inch diameter),EF0,SSE/150,72,0,0,small trees ripped from burm,40.7594,-89.5918,ILX,udi9p2Fm_1458162959391.jpg
-89.591779269997289,40.759196879632327,61,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,24,Electrical Transmission Lines (ETL),Broken wood poles,EF0,SSE/150,N/A,0,0,none,40.7591,-89.5917,ILX,null
-89.591559079088199,40.759523227415059,62,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,2,One- or Two-Family Residences (FR12),"Loss of roof covering material (<20%), gutters and/or awning; loss of vinyl or metal siding",EF0,SSE/150,80,0,0,none,40.7595,-89.5915,ILX,udi9p2Fm_1458163223209.jpg
-89.59747000004046,40.754830000204379,63,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Large branches broken (1-3 inch diameter),EF0,W/270,75,0,0,lg branches down in donovan golf course,40.7548,-89.5974,ILX,null
-89.602653329887232,40.746779219785196,64,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,2,One- or Two-Family Residences (FR12),"Loss of roof covering material (<20%), gutters and/or awning; loss of vinyl or metal siding",TSTM/Wind,W/270,80,0,0,minor shingle damage.,40.7467,-89.6026,ILX,null
-89.607177051079987,40.7468767989252,65,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,2,One- or Two-Family Residences (FR12),"Loss of roof covering material (<20%), gutters and/or awning; loss of vinyl or metal siding",EF0,W/270,80,0,0,none,40.7468,-89.6071,ILX,null
-89.608101101784371,40.746896600197999,66,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,2,One- or Two-Family Residences (FR12),"Loss of roof covering material (<20%), gutters and/or awning; loss of vinyl or metal siding",EF0,W/270,80,0,0,none,40.7468,-89.6081,ILX,udi9p2Fm_1458163720619.jpg
-89.610781763167779,40.744932715572418,67,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,1,Small Barns or Farm Outbuildings (SBO),Major loss of roof panels,EF0,NNE/30,85,0,0,farmers market awning blown into schnucks parking lot behind wall.,40.7449,-89.6107,ILX,udi9p2Fm_1458163952615.jpg
-89.610793786204226,40.745054344382538,68,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,1,Small Barns or Farm Outbuildings (SBO),Major loss of roof panels,EF0,NNE/30,85,0,0,none,40.745,-89.6107,ILX,udi9p2Fm_1458163994569.jpg
-89.610769394791703,40.745039172819645,69,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,1,Small Barns or Farm Outbuildings (SBO),Major loss of roof panels,EF0,NNE/30,85,0,0,car damaged by awning.,40.745,-89.6107,ILX,udi9p2Fm_1458164029537.jpg
-89.614314521398001,40.741814528617681,70,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,2,One- or Two-Family Residences (FR12),"Loss of roof covering material (<20%), gutters and/or awning; loss of vinyl or metal siding",EF0,NNE/30,70,0,0,shingle damage,40.7418,-89.6143,ILX,udi9p2Fm_1458164325104.jpg
-89.614422898697796,40.741756609579909,71,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,2,One- or Two-Family Residences (FR12),"Loss of roof covering material (<20%), gutters and/or awning; loss of vinyl or metal siding",EF0,N/0,75,0,0,none,40.7417,-89.6144,ILX,udi9p2Fm_1458164378873.jpg
-89.614376212192383,40.741565963198695,72,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,2,One- or Two-Family Residences (FR12),"Loss of roof covering material (<20%), gutters and/or awning; loss of vinyl or metal siding",EF0,N/0,70,0,0,none,40.7415,-89.6143,ILX,udi9p2Fm_1458164421092.jpg
-89.6143797321389,40.741776852419832,73,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,28,Trees: Softwood (TS),Large branches broken (1-3 inch diameter),EF0,N/0,70,0,0,none,40.7417,-89.6143,ILX,udi9p2Fm_1458164494263.jpg
-89.61299361696183,40.739662224332221,74,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,27,Trees: Hardwood (TH),Trunks snapped,EF1,N/A,93,0,0,rotten core,40.7396,-89.6129,ILX,udi9p2Fm_1458164947756.jpg
-89.626878740161715,40.73015760978592,75,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,2,One- or Two-Family Residences (FR12),"Loss of roof covering material (<20%), gutters and/or awning; loss of vinyl or metal siding",TSTM/Wind,NNE/30,85,0,0,none,40.7301,-89.6268,ILX,null
-89.62691268956894,40.730196039615578,76,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,27,Trees: Hardwood (TH),Large branches broken (1-3 inch diameter),TSTM/Wind,N/0,75,0,0,none,40.7301,-89.6269,ILX,null
-89.629807090125098,40.731008089651652,77,2016-03-16T00:00:00.000Z,2016-03-16T00:00:00.000Z,2,One- or Two-Family Residences (FR12),Threshold of visible damage,TSTM/Wind,N/0,65,0,0,none,40.731,-89.6298,ILX,null
