OBJECTID,Type,Shape_Leng,Shape__Area,Shape__Length
191,Obscure Area Outlines,1377.81738332,82675.6188964844,1377.81738332702
192,Obscure Area Outlines,1806.60537314,62528.6733398438,1806.60537314682
193,Obscure Area Outlines,1496.62338425,77805.2436523438,1496.62338424765
194,Obscure Area Outlines,955.093934859,37190.3203125,955.093934861301
195,Obscure Area Outlines,671.887630294,19541.1977539063,671.887630293715
196,Obscure Area Outlines,663.98939609,19903.9799804688,663.989396092055
197,Obscure Area Outlines,731.264490713,32011.7497558594,731.264490719535
198,Obscure Area Outlines,285.527841038,5647.47534179688,285.527841035226
199,Obscure Area Outlines,889.172150467,20783.2841796875,889.172150467079
200,Obscure Area Outlines,503.94991614,9189.28125,503.949916134469
201,Obscure Area Outlines,308.561519373,4292.7001953125,308.561519372252
202,Obscure Area Outlines,1536.10793591,86960.4670410156,1536.10793590611
203,Obscure Area Outlines,2766.69964594,182112.967773438,2766.69964594695
204,Obscure Area Outlines,1007.68761429,51336.9033203125,1007.68761429027
205,Obscure Area Outlines,673.479600146,16393.9484863281,673.479600150006
206,Obscure Area Outlines,2287.72531936,161782.446044922,2287.72531937145
207,Obscure Area Outlines,865.869402032,25332.4204101563,865.869402027789
208,Obscure Area Outlines,1499.72887999,86697.8376464844,1499.72888000046
209,Obscure Area Outlines,955.700020671,36968.2824707031,955.700020669275
210,Obscure Area Outlines,907.813566285,46039.0119628906,907.813566280052
211,Obscure Area Outlines,818.147978854,34152.4084472656,818.147978854679
212,Obscure Area Outlines,2413.0629105,121653.945556641,2413.06291050576
213,Obscure Area Outlines,876.587888056,46632.5285644531,876.587888055159
214,Obscure Area Outlines,583.20271954,21946.5649414063,583.202719539418
215,Obscure Area Outlines,1316.94538693,65228.1625976563,1316.94538693492
216,Obscure Area Outlines,1322.50359785,75233.1145019531,1322.50359785521
217,Obscure Area Outlines,1242.18092271,49853.8137207031,1242.18092272661
218,Obscure Area Outlines,1294.37214031,77492.7082519531,1294.37214030722
219,Obscure Area Outlines,418.339138318,3901.52319335938,418.339138312936
220,Obscure Area Outlines,652.259378201,7373.74291992188,652.259378201764
221,Obscure Area Outlines,700.445028293,35548.2890625,700.445028299796
222,Obscure Area Outlines,1345.82185491,64279.267578125,1345.82185490743
223,Obscure Area Outlines,695.895770703,31966.9133300781,695.895770709882
224,Obscure Area Outlines,410.68099308,9345.52197265625,410.680993078939
225,Obscure Area Outlines,1090.06735024,79186.857421875,1090.06735024345
226,Obscure Area Outlines,1489.10569683,52886.6923828125,1489.10569682575
227,Obscure Area Outlines,927.791257468,45429.9794921875,927.791257467601
228,Obscure Area Outlines,2286.84045202,137739.499023438,2286.84045201489
229,Obscure Area Outlines,1199.13075762,64039.8166503906,1199.13075762195
230,Obscure Area Outlines,1206.18998551,26064.8940429688,1206.18998551403
231,Obscure Area Outlines,870.921664682,48704.5563964844,870.921664685638
232,Obscure Area Outlines,1147.75462218,49916.9069824219,1147.75462218623
233,Obscure Area Outlines,886.318520694,43640.0463867188,886.318520688396
234,Obscure Area Outlines,978.633028933,46978.3469238281,978.633028930111
