OBJECTID,SEPRID,SEPRTYPE,STATEDAREA,SEPRTYPE2,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
202,2005701001,Mineral Right,168,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7403464.6809082,11147.4120223844
203,1906701001,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1850120.93652344,5440.89731916801
204,1731701007,Mineral Right,20,10,,,AANDREWS,2018-07-13T19:56:44.000Z,842073.874267578,3938.55469533117
205,1733701004,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3349849.41870117,7790.35956101081
206,1731701006,Mineral Right,20,10,,,AANDREWS,2018-07-13T19:56:44.000Z,902396.336425781,4048.98570951572
207,1636701010,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1745396.14208984,5284.83171083756
208,1636701012,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1763766.14819336,5312.45561082807
209,1636701004,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1785692.18017578,5345.40305779025
210,1732701005,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3367574.98339844,7800.87288470977
211,1631701001,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1819975.75268555,5398.08234688859
212,1633701005,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1759423.25976563,5305.760542809
213,1633701008,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1742003.94970703,5294.87670894191
214,1733701003,Mineral Right,56.4,10,,,AANDREWS,2018-07-13T19:56:44.000Z,2027483.94750977,7183.70526422246
215,1732701004,Mineral Right,10,10,,,AANDREWS,2018-07-13T19:56:44.000Z,410037.343994141,3220.64667454299
216,1731701005,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3502018.25830078,8003.01548190721
217,1731701002,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3500906.4543457,7968.03507812698
218,1636701009,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1744136.31542969,5288.81001757863
219,1634701009,Mineral Right,140,10,,,AANDREWS,2018-07-13T19:56:44.000Z,6217363.89086914,10649.825206032
220,1634701005,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1751169.51635742,5293.58605598619
221,1636701011,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1768188.83349609,5319.37974268732
222,1732701006,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,6923600.26831055,10543.4787179628
223,1635701006,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3530798.45654297,7973.27663515834
224,1633701006,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1718679.56030273,5248.96629255887
225,1633701007,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1740214.73168945,5277.12351591831
226,1631701003,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1772809.5402832,5326.59026053517
227,1632701002,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1789111.21435547,5350.40276999578
228,1633701004,Mineral Right,20,10,,,AANDREWS,2018-07-13T19:56:44.000Z,864647.080322266,3951.22508109367
229,1536701002,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3484919.7956543,7880.35084476483
230,1733701002,Mineral Right,1,10,,,AANDREWS,2018-07-13T19:56:44.000Z,42001.5227050781,820.010729925405
231,1634701001,Mineral Right,20,10,,,AANDREWS,2018-07-13T19:56:44.000Z,885772.468261719,4004.21192824721
232,1635701007,Mineral Right,20,10,,,AANDREWS,2018-07-13T19:56:44.000Z,889809.022705078,4005.41411139618
233,1731701004,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3450778.64916992,7945.50803368695
234,1635701003,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1786543.52539063,5346.7077973366
235,1634701004,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1746014.22290039,5286.28994508504
236,1636701007,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1770309.82250977,5322.88187820063
237,1636701006,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1787372.02075195,5348.47961129262
238,1536701001,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1720505.1484375,5247.7505263304
239,1731701001,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,6748246.68139648,10395.8244997208
240,1731701003,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1728538.11181641,5261.22468588199
241,1732701001,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3354901.4465332,7765.73897282515
242,1732701002,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3418137.11914063,7824.67530702424
243,1633701003,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3381565.07397461,7837.29291263499
244,1636701002,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3480188.328125,7904.44923142218
245,1633701002,Mineral Right,20,10,,,AANDREWS,2018-07-13T19:56:44.000Z,874572.930664063,3957.09986021259
246,1634701003,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3519958.57861328,7935.76287597957
247,1732701003,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3484572.98901367,7913.4495487428
248,1733701001,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3508428.18334961,7929.22952015645
249,1633701001,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3454979.71850586,7875.35665166917
250,1636701008,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3533473.52539063,7954.23780664617
251,1632701001,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3489442.64868164,7926.79938181022
252,1635701001,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1775939.48974609,5330.65673824802
253,1635701004,Mineral Right,60,10,,,AANDREWS,2018-07-13T19:56:44.000Z,2686350.5625,6687.16544466906
254,1635701005,Mineral Right,20,10,,,AANDREWS,2018-07-13T19:56:44.000Z,891938.04296875,4008.374357138
255,1635701008,Mineral Right,5,10,,,AANDREWS,2018-07-13T19:56:44.000Z,202081.8828125,2979.22815097425
256,1636701001,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1791842.31713867,5355.65518973167
257,1631701002,Mineral Right,49,10,,,AANDREWS,2018-07-13T19:56:44.000Z,2178237.60400391,7971.23250559671
258,1628701004,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1746329.88354492,5286.45824477497
259,1627701003,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1744201.51708984,5282.95500244994
260,1625701005,Mineral Right,20,10,,,AANDREWS,2018-07-13T19:56:44.000Z,889100.10546875,4005.12384923005
261,1726701001,Mineral Right,0,10,,,AANDREWS,2018-07-13T19:56:44.000Z,9189.42944335938,389.735580321965
262,1730701003,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3603369.64990234,8021.91657713017
263,1730701004,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3624749.01879883,8036.41027155291
264,1729701002,Mineral Right,158,10,,,AANDREWS,2018-12-04T22:06:16.000Z,6970490.27661133,10565.7106070991
265,1730701002,Mineral Right,4,10,,,AANDREWS,2018-07-13T19:56:44.000Z,176088.145751953,2982.20279687275
266,1729701003,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,6975412.39526367,10566.9399748006
267,1625701006,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1750999.39697266,5294.56334714119
268,1628701002,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3518886.36376953,7940.69397339863
269,1627701002,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3530094.77319336,7982.82104470189
270,1629701003,Mineral Right,100,10,,,AANDREWS,2018-07-13T19:56:44.000Z,4418410.1496582,8633.01744542152
271,1629701002,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7076483.79858398,10640.7254128002
272,1628701005,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7078869.69262695,10631.8828679226
273,1630701003,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3809943.13256836,8155.17073005752
274,1625701007,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1776533.47436523,5332.81874218739
275,1630701001,Mineral Right,123,10,,,AANDREWS,2018-07-13T19:56:44.000Z,4751897.96557617,8871.32776068918
276,1626701003,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3591784.93603516,8030.62196097056
277,1626701004,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7136252.01123047,10685.6536150216
278,1625701003,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1777101.41674805,5333.60968173477
279,1526701001,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3438572.86010742,7903.64331780277
280,1630701001,Mineral Right,123,10,,,AANDREWS,2018-07-13T19:56:44.000Z,942791.517089844,4176.97637982108
281,1729701004,Mineral Right,30,10,,,AANDREWS,2018-12-04T22:06:16.000Z,1303426.49267578,4618.56073590772
