OBJECTID,DIVDSGNTR,BLKDSGNTR,DIVTYP,STATEDAREA,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
108,Public Right Of Way,,Public Right Of Way,0.7148 a,,,AANDREWS,2018-07-13T19:57:02.000Z,31203.2863769531,2214.8419541403
109,Public Right Of Way,,Public Right Of Way,0.4840 a,,,AANDREWS,2018-07-13T19:57:02.000Z,21083.5036621094,1344.46235689639
110,Public Right Of Way,,Public Right Of Way,0.0467 a,,,AANDREWS,2018-07-13T19:57:02.000Z,2032.9013671875,594.802132502214
111,Public Right Of Way,,Public Right Of Way,2.909 a,,,AANDREWS,2018-07-13T19:57:02.000Z,126730.599853516,6067.53102277395
112,Public Right Of Way,,Public Right Of Way,4.424 a,,,AANDREWS,2018-07-13T19:57:02.000Z,192717.587158203,10106.5536966778
113,Public Right Of Way,,Public Right Of Way,2.235 a,,,AANDREWS,2018-07-13T19:57:02.000Z,97355.7338867188,3599.87034021236
114,Public Right Of Way,,Public Right Of Way,1.033 a,,,AANDREWS,2018-07-13T19:57:02.000Z,44980.9992675781,1933.97995141632
115,Public Right Of Way,,Public Right Of Way,0.8468 a,,,AANDREWS,2018-07-13T19:57:02.000Z,36958.4343261719,1595.16481286817
116,Public Right Of Way,,Public Right Of Way,1.389 a,,,AANDREWS,2018-07-13T19:57:02.000Z,60483.6672363281,4192.16518513899
117,Public Right Of Way,,Public Right Of Way,1.601 a,,,AANDREWS,2018-07-13T19:57:02.000Z,69722.7407226563,1195.30456661532
118,Public Right Of Way,,Public Right Of Way,7.572 a,,,AANDREWS,2018-07-13T19:57:02.000Z,329739.384033203,12741.787181516
119,Public Right Of Way,,Public Right Of Way,1.006 a,,,AANDREWS,2018-07-13T19:57:02.000Z,43817.0454101563,1863.90514145137
120,Public Right Of Way,,Public Right Of Way,0.7507 a,,,AANDREWS,2018-07-13T19:57:02.000Z,32672.11328125,1151.30302503764
121,Public Right Of Way,,Public Right Of Way,1.052 a,,,AANDREWS,2018-07-13T19:57:02.000Z,45840.0415039063,1770.22741166366
122,Public Right Of Way,,Public Right Of Way,1.013 a,,,AANDREWS,2018-07-13T19:57:02.000Z,44061.3486328125,3218.01676012387
123,Public Right Of Way,,Public Right Of Way,0.3896 a,,,AANDREWS,2018-07-13T19:57:02.000Z,16968.2014160156,1418.89570844192
124,Public Right Of Way,,Public Right Of Way,0.0875 a,,,AANDREWS,2018-07-13T19:57:02.000Z,3811.19873046875,257.642786652431
125,Public Right Of Way,,Public Right Of Way,3.786 a,,,AANDREWS,2018-07-13T19:57:02.000Z,164908.579345703,6172.87593495373
126,Public Right Of Way,,Public Right Of Way,0.2332 a,,,AANDREWS,2018-07-13T19:57:02.000Z,10156.6450195313,1384.32892598323
127,Public Right Of Way,,Public Right Of Way,0.6189 a,,,AANDREWS,2018-07-13T19:57:02.000Z,26959.0681152344,1944.28455219724
128,Public Right Of Way,,Public Right Of Way,0.0613 a,,,AANDREWS,2018-07-13T19:57:02.000Z,2675.91967773438,234.094251489882
129,Public Right Of Way,,Public Right Of Way,1.442 a,,,AANDREWS,2018-07-13T19:57:02.000Z,62814.3278808594,2218.28163187217
130,Public Right Of Way,,Public Right Of Way,7.267 a,,,AANDREWS,2018-07-13T19:57:02.000Z,316578.776367188,11541.4105692197
131,Public Right Of Way,,Public Right Of Way,2.749 a,,,AANDREWS,2018-07-13T19:57:02.000Z,119729.978027344,3902.14031092416
132,Public Right Of Way,,Public Right Of Way,0.7961 a,,,AANDREWS,2018-07-13T19:57:02.000Z,34680.2866210938,1576.75419022239
133,Public Right Of Way,,Public Right Of Way,0.0590 a,,,AANDREWS,2018-07-13T19:57:02.000Z,2573.87280273438,256.861467170204
134,Public Right Of Way,,Public Right Of Way,2.355 a,,,AANDREWS,2018-07-13T19:57:02.000Z,102577.790771484,4243.7787206588
135,Public Right Of Way,,Public Right Of Way,1.847 a,,,AANDREWS,2018-07-13T19:57:02.000Z,80413.7802734375,2823.67824899837
136,Public Right Of Way,,Public Right Of Way,1.517 a,,,AANDREWS,2018-07-13T19:57:02.000Z,66022.7595214844,2265.25464153774
137,Public Right Of Way,,Public Right Of Way,2.214 a,,,AANDREWS,2018-10-15T21:03:56.000Z,96532.7421875,4883.66558896614
138,Public Right Of Way,,Public Right Of Way,31.91 a,,,AANDREWS,2018-07-13T19:57:02.000Z,1390126.37670898,13419.5910207445
139,Public Right Of Way,,Public Right Of Way,4.091 a,,,AANDREWS,2018-07-13T19:57:02.000Z,178207.884765625,9752.25224587213
140,Public Right Of Way,,Public Right Of Way,11.14 a,,,AANDREWS,2018-07-13T19:57:02.000Z,485261.123046875,22285.9171670309
141,Public Right Of Way,,Public Right Of Way,26.59 a,,,AANDREWS,2018-07-13T19:57:02.000Z,1158469.25219727,6393.78119234966
142,Public Right Of Way,,Public Right Of Way,9.074 a,,,AANDREWS,2018-07-13T19:57:02.000Z,395256.826416016,23501.5960040113
143,Public Right Of Way,,Public Right Of Way,4.419 a,,,AANDREWS,2018-07-13T19:57:02.000Z,192475.702636719,13335.9962498484
144,Public Right Of Way,,Public Right Of Way,1.434 a,,,AANDREWS,2018-07-13T19:57:02.000Z,62466.8049316406,3248.41686106509
145,Public Right Of Way,,Public Right Of Way,1.343 a,,,AANDREWS,2018-07-13T19:57:02.000Z,58496.9294433594,3611.62287655743
146,Public Right Of Way,,Public Right Of Way,6.003 a,,,AANDREWS,2018-07-13T19:57:02.000Z,261507.562988281,9924.74805255352
147,Public Right Of Way,,Public Right Of Way,2.058 a,,,AANDREWS,2018-07-13T19:57:02.000Z,89666.0334472656,5566.26520346328
