OBJECTID,TYPE,Status,Comments,Date_Modified,Compiler,created_user,created_date,last_edited_user,last_edited_date,GlobalID,Shape__Area,Shape__Length
2353,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,1178cc95-9f7c-45a5-a54f-28b2fdef3411,17433.3935546875,1133.09045254803
2354,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,18777832-4ac3-4813-a415-147f68195e8d,1868.9267578125,176.68240297549
2355,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,85222892-1419-4ddd-92ca-0d5593781d31,3283.68212890625,430.138775531492
2356,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,dea4f7a7-b145-4c7a-9a6b-111b4923cd39,1396.43530273438,166.181070607211
2357,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,378e6ad3-614d-4276-bd62-edc0138fe415,12030.1372070313,1016.6895740669
2358,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,d1888efe-af77-409a-89dc-fe3b87523e30,9484.01928710938,672.987090401988
2359,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,e9a8be41-6ace-4be2-b191-1461d6fc8d29,12306.1896972656,681.794191583001
2360,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,68934b04-a33f-4c19-818f-587d10bfe39f,7140.08837890625,431.910908398661
2361,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,1058c1cc-c154-40a7-985b-5ee7ee2e1462,23385.7912597656,981.883975987601
2362,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,f4edfcd9-c5ed-4a41-909c-012d44306d37,20015.7883300781,1277.6481970669
2363,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,a4581b0c-74c0-47e9-90bc-8e82e1c75168,11417.6044921875,575.917270714715
2364,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,a48aaadf-6558-49bc-af8d-a9cadc1c5060,7789.7666015625,424.292040091674
2365,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,aae902ed-37e9-4e60-935e-14dfacf2a96b,4005.87768554688,512.607681317469
2366,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,5b6a9998-b810-4093-9029-1e3f6cf38c52,7356.49267578125,384.356264311625
2367,Paved,Updated,,2017-09-15T00:00:00.000Z,Austin Holland,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,284d3310-f8b7-469d-87de-a43f8b0bf659,96755.4084472656,4254.391241732
2368,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,ea75c503-5a5d-4d84-bb70-78ceec651c3c,21294.6752929688,1382.85368955007
2369,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,45dfadca-9e31-465d-bb1e-d2fb40a198f1,1011.32983398438,132.63978798762
2370,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,53fd7257-76a6-4a6f-82b7-34a659bd5cf2,4230.89233398438,325.374488532519
2371,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,6a9356ce-f4d8-40e7-a1e3-cccb5de5ba49,10107.9638671875,1401.15428577356
2372,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,fc9cf08e-0662-4895-bd7b-6f737f3457cb,15372.8298339844,955.375296122808
2373,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,b1f5092e-9692-47cc-be85-582246bc3d1b,12133.0561523438,753.152362643244
2374,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,616e7ff2-4b4e-4437-8f66-9627c505e39c,572.452392578125,99.1524909680024
2375,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,675be5d0-a157-4b4b-8995-726950c25b34,12584.9458007813,675.415927182899
2376,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,0e2c003a-1e3b-4bca-8aa3-437b8b16b8af,10395.623046875,1112.15342913908
2377,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,a3b66b17-6226-4cd7-970d-94b8f55aebd8,13193.3776855469,798.323080474646
2378,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,9fe4ee36-be0b-48b2-ac27-4974fa145db5,3991.02026367188,317.183722936556
2379,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,ce92707b-d78e-485c-898f-07e4948d55d0,1388.34985351563,166.300065865128
2380,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,1d248bbf-f94d-4853-a79f-f2a18d9b9da7,31516.9650878906,907.851403914456
2381,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,945f2430-82d3-4b7e-bc6c-26274ca7434d,4688.5693359375,664.330238694583
2382,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,a3024649-461a-4fa7-a5ae-51dd533c90ba,3793.10424804688,443.14728759423
2383,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,74fa2c72-e954-4363-9cfc-b892bf7faf52,25761.0930175781,738.864484594344
2384,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,fb78215e-39ed-49c0-b6fb-add3eb0146f4,22048.2839355469,790.419259754213
2385,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,77076592-c049-4143-a734-ccbf32a57a7c,10720.8498535156,507.071436001403
2386,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,7ee195a7-018e-4926-b39e-060f4bcb9c36,1890.67944335938,240.221612638851
2387,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,340e7c11-a1ff-4415-bd64-95877fc9f4a6,1469.23950195313,203.39609422497
2388,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,807a340e-18c4-4324-9b5e-2eb91859adca,33403.7810058594,920.822005974284
2389,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,d0501a2b-bf70-49e8-8c86-7ef5284bc494,1161.93701171875,149.225788414517
2390,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,58d798ed-5ed0-4d07-bebe-fb96c3ed4ba9,12110.4836425781,715.288732552591
