OBJECTID,Status,Street,Block_Num,Area_Sq_Ft,Mowing,Weed_Spray,Fertilizer,Num_Trees,Tree_Trimming,Comments,MedianType,Compiler,Date_Modified,created_user,created_date,last_edited_user,last_edited_date,GlobalID,Shape__Area,Shape__Length
62,Updated,,,,,,,,,,Paved,C.Wrice,2012-10-18T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,718dbce4-e4d3-49b4-92d9-97de8eed4ef2,419.88720703125,91.861862958293
63,Updated,,,,,,,,,,Paved,C.Wrice,2012-10-25T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,f86ca62a-19ba-47a4-b87c-719baf1e1d6a,89.406982421875,45.3058183116675
64,Updated,,,,,,,,,,Paved,C.Wrice,2012-10-25T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,5d4ffc87-0f1f-4dec-8035-d18aa68395ba,304.55859375,77.5300536873321
65,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-16T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,ee70efd0-dbed-4ce9-9cfb-196ca74ee06d,4170.1591796875,445.351461587862
66,Updated,,,,,,,,,,Grass,C.Wrice,2012-11-09T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,0f2031c7-5c2a-4edc-a82e-57ca30d488e9,2188.36083984375,309.353333713713
67,Updated,,,,,,,,,,Grass,C.Wrice,2012-11-09T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,f9448306-fd8c-4ba2-9f1d-a0e4cc5cc593,723.6298828125,123.258772118489
68,Updated,,,,,,,,,,Grass,C.Wrice,2012-11-09T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,ecde3f3d-ef0d-43c2-a5f6-67df096f99ef,96389.3735351563,5898.92678971011
69,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-09T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,4fc4595a-bf4b-4617-ab3f-2a4e0e11b736,213.68115234375,71.1812700407579
70,Updated,,,,,,,,,part grass and steel barrier,Paved,C.Wrice,2012-11-09T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,0e77dbbf-d971-4afe-aa91-15c191e6d01b,74432.7182617188,8780.96212957322
71,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-09T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,dc741267-b3bc-4c1a-b988-c45f7a1b5f93,1108.310546875,203.886684722797
72,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-09T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,ecb07184-60e6-4ff5-ac4d-bb3d16ab5e12,167.8515625,51.4797401572813
73,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-09T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,3ffd521f-d31a-4122-a578-112847ae9ab1,301.452880859375,72.8685251021554
74,Updated,,,,,,,,,,Paved,C.Wrice,2012-11-09T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,192e00a4-6baa-4d14-8c9f-a53d905b03e1,196.68798828125,57.9159764890711
75,Updated,,,,,,,,,concrete barrier,Paved,C.Wrice,2012-11-09T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,4f0552b1-0a1e-4ea3-b670-4439e9017ae4,6473.10986328125,1970.29410861203
