OBJECTID,ENCUMID,SRCREF,ENCUMTYPE,STATEDAREA,LASTUPDATE,LASTEDITOR,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
113,1407227007,,Lease,0.045,,,,,AANDREWS,2018-07-13T19:57:03.000Z,1944.55688476563,178.620149529991
114,1407100002,,Lease,22.635,,,,,AANDREWS,2018-07-13T19:57:03.000Z,977504.613769531,5468.49256514427
115,1307100033,,Lease,0.161,,,,,AANDREWS,2018-07-13T19:57:03.000Z,7001.51391601563,340.060357297125
116,1407100001,,Lease,4.328,,,,,AANDREWS,2018-07-13T19:57:03.000Z,186640.887451172,2152.19703414692
117,1302400040,,Lease,1.475,,,,,AANDREWS,2018-07-13T19:57:03.000Z,62651.462890625,2109.94234888521
118,1406300007,,Lease,2.137 a,,,,,AANDREWS,2018-07-13T19:57:03.000Z,93129.1010742188,1278.2528425553
119,1406427009,,Lease,0.037,,,,,AANDREWS,2018-07-13T19:57:03.000Z,1599.98803710938,159.999392591192
120,1405278017,,Lease,0.1125 a,,,,,AANDREWS,2018-07-13T19:57:03.000Z,4899.98999023438,279.999710425054
121,1405278010,,Lease,0.6478 a,,,,,AANDREWS,2018-07-13T19:57:03.000Z,28227.9807128906,723.041008764425
122,0734300022,,Lease,0.1533 a,,,,,AANDREWS,2018-07-13T19:57:03.000Z,6665.3662109375,325.196052768437
123,0931300014,,Lease,0.065,,,,,AANDREWS,2018-07-13T19:57:03.000Z,2845.18432617188,214.839435553387
124,0934100022,,Lease,0.083,,,,,AANDREWS,2018-07-13T19:57:03.000Z,3599.98486328125,239.999502675921
125,0733200010,,Lease,0.23,,,,,AANDREWS,2018-07-13T19:57:03.000Z,9999.4296875,399.988596721741
126,0716400002,,Lease,181.3,,,,,AANDREWS,2018-07-13T19:57:03.000Z,413455.172607422,4770.13228357853
127,0716400002,,Lease,181.3,,,,,AANDREWS,2018-07-13T19:57:03.000Z,1408962.66552734,13771.0787921
128,0932127017,,Lease,0,,,,,AANDREWS,2018-07-13T19:57:03.000Z,33283.9116210938,821.882437355849
129,0927453008,,Lease,0.129,,,,,AANDREWS,2018-07-13T19:57:03.000Z,5624.9931640625,299.999813180465
130,0920301019,,Lease,0.083,,,,,AANDREWS,2018-07-13T19:57:03.000Z,3599.8935546875,240.000600261671
131,0920301021,,Lease,0.69,,,,,AANDREWS,2018-07-13T19:57:03.000Z,3002.75610351563,222.968379601983
132,0716400002,,Lease,181.3,,,,,AANDREWS,2018-07-13T19:57:03.000Z,330184.448974609,3382.96919298118
133,0716400002,,Lease,181.3,,,,,AANDREWS,2018-07-13T19:57:03.000Z,477754.120849609,3449.38616044611
134,0716400002,,Lease,181.3,,,,,AANDREWS,2018-07-13T19:57:03.000Z,475832.903564453,3714.0120931645
135,0716400002,,Lease,181.3,,,,,AANDREWS,2018-07-13T19:57:03.000Z,1215312.3190918,9095.20773803519
136,0716400002,,Lease,181.3,,,,,AANDREWS,2018-07-13T19:57:03.000Z,1087960.9934082,8516.21591929455
137,0922200016,,Lease,0.103,,,,,AANDREWS,2018-07-13T19:57:03.000Z,4517.0556640625,270.571219891371
138,0622200009,,Lease,0.229,,,,,AANDREWS,2018-07-13T19:57:03.000Z,10000.015625,400.00031319345
139,0615400009,,Lease,0.46,,,,,AANDREWS,2018-07-13T19:57:03.000Z,19999.9152832031,600.009485503397
140,0915400002,,Lease,7.001,,,,,AANDREWS,2018-07-13T19:57:03.000Z,305000.224609375,2212.30304847635
141,0716400002,,Lease,181.3,,,,,AANDREWS,2018-07-13T19:57:03.000Z,564202.971435547,5345.21205902878
142,0814100014,,Lease,0.23,,,,,AANDREWS,2018-07-13T19:57:03.000Z,10003.0895996094,400.107140442777
143,0815201004,,Lease,0.0826 a,,,,,AANDREWS,2018-07-13T19:57:03.000Z,3600,239.999995052814
144,0815228034,,Lease,0.48,,,,,AANDREWS,2018-07-13T19:57:03.000Z,20992.3486328125,609.917076255985
145,0811310012,,Lease,0.0822 a,,,,,AANDREWS,2018-07-13T19:57:03.000Z,3579.60620117188,239.324003290423
146,0803400010,,Lease,0.0565 a,,,,,AANDREWS,2018-07-13T19:57:03.000Z,2462.92114257813,218.186251301272
147,0902400004,,Lease,0.2296 a,,,,,AANDREWS,2018-07-13T19:57:03.000Z,10000.1110839844,400.005303443179
148,0122351001,,Lease,0.6026 a,,,,,AANDREWS,2018-07-13T19:57:03.000Z,26249.9509277344,850.009198174031
149,0521302008,,Lease,0.086,,,,,AANDREWS,2018-07-13T19:57:03.000Z,3750.12475585938,250.006009777065
150,0319151009,,Lease,0,,,,,AANDREWS,2018-07-13T19:57:03.000Z,7966.44653320313,368.965017031219
151,0224279010,,Lease,0.15999999,,,,,AANDREWS,2018-07-13T19:57:03.000Z,8008.85375976563,966.168573303271
152,0519100011,,Lease,0.23,,,,,AANDREWS,2018-07-13T19:57:03.000Z,5032.49584960938,542.472482275433
153,0322100016,,Lease,0.057,,,,,AANDREWS,2018-07-13T19:57:03.000Z,2499.9873046875,199.999472528696
154,0517300009,,Lease,0.272,,,,,AANDREWS,2018-07-13T19:57:03.000Z,12673.6091308594,462.409140648214
155,0509200014,,Lease,120.3,,,,,AANDREWS,2018-07-13T19:57:03.000Z,233393.131347656,2351.40954226642
156,0509200014,,Lease,120.3,,,,,AANDREWS,2018-07-13T19:57:03.000Z,716811.245361328,4731.01733177762
157,0509200014,,Lease,120.3,,,,,AANDREWS,2018-07-13T19:57:03.000Z,689557.822265625,4706.70997483046
158,0509200014,,Lease,120.3,,,,,AANDREWS,2018-07-13T19:57:03.000Z,951022.840820313,4847.15925753494
159,0509200014,,Lease,120.3,,,,,AANDREWS,2018-07-13T19:57:03.000Z,1010851.25708008,4474.95031151257
