OBJECTID,Form,Id,ORIG_FID,GlobalID,Shape__Area,Shape__Length
82,Village,1,1,8506e054-d1ba-4cab-8c96-5b2e3d972599,14899019.9558105,37539.8260006438
83,Village,1,1,d2887c93-5d13-4ccf-a7e2-26baf2f0df07,2593091.5690918,9125.53102605208
84,Village,1,1,24bb87d5-66df-4336-9a18-48d789de7b1d,21879841.3027344,23768.9650420023
85,Village,1,1,7c663b31-eb80-4f64-87ea-03ec7b565e25,673638.481445313,3998.91293572445
86,Village,1,1,b60e600f-78a4-4bd4-b31b-2daebd18c5da,8675852.14599609,16105.1550483051
87,Village,1,1,a10e6e7d-ce06-4c3a-b1cb-9e8ae4db2a6a,2974873.13769531,7242.79988098178
88,Village,1,1,076ced68-9cc4-40b7-bd72-0c7b15d5a77d,70535.1574707031,1074.02758422259
89,Village,1,1,be5aa6a0-56db-4e8f-953c-81afce9bfc44,5112654.38696289,12902.6875318753
90,Village,1,1,8a71e7ff-196e-4726-b5e4-d90d3df61f3b,3611434.43774414,12285.3611251533
91,Village,1,1,018590ff-7861-4dc1-bf27-12f83d9c2789,751085.971435547,5821.91789279931
92,Village,1,1,3d37726a-6045-43f4-8c28-852f4a59209b,350063.145507813,2726.77691921565
93,Village,1,1,549c8295-0ae1-42c6-b117-38e8e678c433,3604550.11328125,16152.5746126753
94,Village,1,1,0145e372-674a-41b0-9aa6-ccce2f64b9fd,2349.224609375,1203.98739570828
95,Village,1,1,b2e1964a-9424-4ae2-85cb-e94065662595,20085183.1845703,35749.2585449372
96,Village,1,1,0fdc73a2-3b26-4cab-bc79-f1e7ae1c2c79,90534181.3383789,67954.3719308004
97,Village,1,1,2e92a2da-7873-4c0c-815a-6de924a4771e,7898319.87207031,12382.0368792004
98,Village,1,1,84a323e0-f2ae-4d9e-aae8-cf9148c73e88,248.4384765625,245.85150657562
99,Village,1,1,0cbdd467-4bf5-4f6f-a438-d62e6193c7ba,1889472.58325195,8986.29154863821
100,Village,1,1,7b31bff1-05c8-44a6-8858-63051fabbaf7,20363767.7692871,22970.9544405598
101,Village,1,1,1ef36d51-8d98-4277-9255-f4fe45c33420,18194416.6242676,35103.9555458737
102,Village Municipal Limits,1,1,802c2503-1c24-4fdc-92b0-235c4b91699d,37582235.4692383,27007.4155642933
